2022/08/22 12:33:53 [error] 5208#20316: *48405 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=43&action=elementor"
2022/08/24 10:44:59 [error] 25068#11288: *20965 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20971 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20971 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20954 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20973 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/6?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20974 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&exclude=6&parent_exclude=6&orderby=menu_order&order=asc&_fields=id%2Ctitle%2Cparent&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20975 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:45:03 [error] 25068#11288: *20976 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/pages/6?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:45:03 [error] 25068#11288: *20977 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/post.php?post=6&action=edit&meta-box-loader=1&meta-box-loader-nonce=4dce2e0341&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/30 15:41:09 [alert] 24976#18408: OpenEvent("ngx_master_2540") failed (2: The system cannot find the file specified)
2022/08/31 13:14:12 [error] 6132#16020: *1007 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "translation-team-myanmar.local", referrer: "https://translation-team-myanmar.local/"
2022/08/31 13:14:13 [error] 6132#16020: *1007 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "https://translation-team-myanmar.local/"
